Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Paul Watson,SF,26,TOR,24,0,9.8,1.0,2.3,.455,0.8,1.8,.455,0.2,0.5,.455,.636,0.1,0.2,.500,0.1,1.3,1.5,0.5,0.2,0.1,0.3,1.3,3.0
Quinndary Weatherspoon,SG,24,SAS,10,0,4.6,0.2,0.8,.250,0.0,0.2,.000,0.2,0.6,.333,.250,0.2,0.2,1.000,0.0,0.3,0.3,0.4,0.4,0.1,0.8,0.9,0.6
Russell Westbrook,PG,32,WAS,37,37,34.8,8.1,18.7,.431,1.2,4.1,.303,6.8,14.6,.468,.465,4.0,6.5,.616,1.5,8.5,10.0,10.2,1.3,0.4,5.0,2.9,21.4
Coby White,PG,20,CHI,44,36,31.5,5.5,13.5,.409,2.3,6.4,.351,3.3,7.1,.462,.492,1.8,2.0,.895,0.5,4.1,4.6,4.6,0.5,0.2,2.3,2.5,15.0
Derrick White,SG,26,SAS,19,15,27.6,4.3,11.2,.382,2.0,6.0,.333,2.3,5.2,.439,.472,2.3,2.6,.880,0.2,2.4,2.6,3.4,0.7,1.1,1.4,2.7,12.8
Hassan Whiteside,C,31,SAC,28,1,14.9,3.4,6.2,.555,0.0,0.0,.000,3.4,6.1,.558,.555,1.2,2.3,.524,1.8,4.3,6.0,0.6,0.2,1.4,1.1,1.9,8.0
Greg Whittington,PF,27,DEN,4,0,3.0,0.0,0.8,.000,0.0,0.5,.000,0.0,0.3,.000,.000,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Wiggins,PF,25,GSW,46,46,32.3,6.8,14.4,.473,2.0,5.1,.393,4.8,9.3,.516,.542,2.5,3.6,.701,1.1,3.7,4.8,2.2,0.9,0.9,1.9,2.2,18.1
Grant Williams,PF,22,BOS,38,7,18.8,1.8,3.9,.460,0.8,2.0,.416,1.0,1.9,.507,.567,0.5,0.9,.528,1.0,2.2,3.1,1.0,0.6,0.4,0.8,2.6,5.0
Kenrich Williams,PF,26,OKC,45,6,19.8,3.0,5.2,.579,0.7,1.5,.448,2.4,3.7,.631,.643,0.4,0.8,.541,1.2,2.7,4.0,1.9,0.7,0.2,1.0,1.8,7.2
Lou Williams,PG,34,LAC,42,3,21.9,4.3,10.2,.421,1.1,2.8,.378,3.2,7.4,.437,.473,2.5,2.8,.866,0.4,1.7,2.1,3.4,0.9,0.1,1.6,1.0,12.1
Patrick Williams,PF,19,CHI,43,43,28.2,3.7,7.9,.466,0.8,2.2,.375,2.8,5.7,.502,.519,1.4,1.8,.766,0.9,4.0,4.9,1.2,0.7,0.7,1.4,2.1,9.6
Robert Williams,C,23,BOS,39,2,17.7,3.4,4.7,.717,0.0,0.0,.000,3.4,4.7,.721,.717,0.9,1.5,.649,2.5,4.2,6.6,1.5,0.9,1.8,1.0,1.9,7.7
Zion Williamson,PF,20,NOP,43,43,32.8,10.1,16.0,.628,0.2,0.5,.348,9.9,15.5,.637,.633,6.0,8.5,.709,2.6,4.5,7.0,3.5,0.9,0.7,2.6,2.3,26.3
D.J. Wilson,PF,24,TOT,18,0,10.2,1.6,3.9,.394,0.8,2.2,.375,0.7,1.7,.419,.500,0.3,0.4,.750,0.4,2.2,2.6,0.4,0.1,0.4,0.5,1.4,4.3
D.J. Wilson,PF,24,MIL,12,0,8.8,1.3,3.6,.372,0.8,2.3,.357,0.5,1.3,.400,.488,0.1,0.2,.500,0.3,1.8,2.1,0.3,0.1,0.3,0.3,1.1,3.6
Dylan Windler,SF,24,CLE,31,0,16.5,1.8,4.2,.438,0.8,2.5,.338,1.0,1.7,.585,.538,0.7,0.9,.778,0.6,2.8,3.5,1.1,0.6,0.4,1.0,1.2,5.2
Justise Winslow,SF,24,MEM,16,0,21.1,3.1,9.1,.342,0.3,2.6,.122,2.8,6.6,.429,.360,0.6,1.0,.563,0.8,4.0,4.8,1.8,0.8,0.4,1.6,2.0,7.1
Cassius Winston,PG,22,WAS,10,0,5.7,0.6,1.5,.400,0.5,1.0,.500,0.1,0.5,.200,.567,0.2,0.2,1.000,0.0,0.7,0.7,1.0,0.0,0.1,0.1,0.5,1.9
James Wiseman,C,19,GSW,32,20,21.4,4.9,9.6,.516,0.3,1.0,.333,4.6,8.5,.538,.534,1.6,2.5,.630,1.4,4.6,5.9,0.6,0.3,0.9,1.6,3.3,11.8
Christian Wood,C,25,HOU,23,23,31.0,8.5,15.4,.551,1.7,4.5,.379,6.8,10.9,.622,.606,2.8,4.2,.670,1.7,8.1,9.8,1.3,0.8,1.4,1.8,2.0,21.5
Robert Woodard,SF,21,SAC,8,0,2.8,0.8,1.6,.462,0.1,0.5,.250,0.6,1.1,.556,.500,0.4,1.0,.375,0.4,0.6,1.0,0.0,0.0,0.0,0.1,0.1,2.0
Delon Wright,SG,28,TOT,37,31,29.1,3.7,8.0,.461,0.8,2.4,.344,2.9,5.6,.512,.513,2.0,2.5,.785,1.0,3.5,4.5,4.9,1.6,0.5,1.3,1.2,10.2
Delon Wright,SG,28,DET,36,31,29.2,3.8,8.1,.464,0.9,2.5,.348,2.9,5.7,.515,.517,2.0,2.5,.789,1.0,3.5,4.6,5.0,1.6,0.5,1.3,1.3,10.4
Thaddeus Young,PF,32,CHI,40,7,24.9,5.6,9.5,.589,0.2,0.6,.250,5.5,8.9,.612,.597,0.7,1.4,.537,2.5,4.0,6.4,4.4,1.3,0.6,2.1,2.5,12.1
Trae Young,PG,22,ATL,43,43,34.4,7.7,17.8,.432,2.4,6.7,.359,5.3,11.0,.477,.500,7.9,9.0,.874,0.7,3.3,4.0,9.5,0.8,0.2,4.2,1.9,25.7
Cody Zeller,C,28,CHO,25,20,21.8,3.6,7.2,.506,0.1,0.8,.150,3.5,6.4,.550,.514,1.6,2.3,.690,2.6,4.5,7.1,2.2,0.7,0.4,1.0,2.4,9.0
Ivica Zubac,C,23,LAC,47,8,21.0,3.3,5.1,.643,0.0,0.1,.000,3.3,5.1,.651,.643,2.0,2.4,.826,2.6,4.6,7.2,1.1,0.4,0.9,1.1,2.5,8.6
